"idBank";"Dernière mise à jour";"Indicateur";"Unité";"Puissance";"Périodicité";"Zone géographique";"Nature";"Correction"
"001717256";"07/03/2022 10:26";"Dépenses";"euros";"6";"Mensuelle";"France";"Cumul depuis le début de l'année";"Non corrigé"
"001717257";"07/03/2022 10:26";"Recettes";"euros";"6";"Mensuelle";"France";"Cumul depuis le début de l'année";"Non corrigé"
"001717258";"07/03/2022 10:26";"Solde des comptes spéciaux";"euros";"6";"Mensuelle";"France";"Cumul depuis le début de l'année";"Non corrigé"
"001717255";"07/03/2022 10:26";"Solde général d'exécution";"euros";"6";"Mensuelle";"France";"Cumul depuis le début de l'année";"Non corrigé"
""
"Codes"
""
"Q";"Couvert par le secret statistique"
"E";"Estimation"
"F";"Prévision"
"P";"Provisoire"
"SD";"Valeur semi-définitive"
"R";"Révision"
"A";"Valeur normale"
"N";"Valeur non significative"
"O";"Valeur manquante"
"U";"Valeur atypique"
